string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
archi fig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
archi lecture,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,6.0,1.0,1.0,2.0,6.0,2.0,0.0,2.0,3.0,1.0,5.0,5.0,3.0,8.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,0.0,1.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0,0.0,1.0,3.0,5.0,0,1.0,3,3.0,0,0.0,1.0,2,6.0,1,1,0,1,1,0,1,0,1,1,0,0,2,3,1,2,0,0,1,0,4,1,1,1,1,1,0,2,1,0,1
archi loque,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2.0,0,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
archi pel,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1.0,0.0,2.0,0,0.0,0,2.0,1,0.0,4.0,0,1.0,3,8,2,1,0,0,0,0,1,0,1,1,0,0,0,2,0,5,0,3,0,0,0,0,0,0,0,1,1,1,0
archi prêtre,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,0.0,1.0,1.0,8.0,1.0,7.0,3.0,3.0,5.0,2.0,0.0,8.0,3.0,3.0,0.0,8.0,2.0,6.0,6.0,4.0,1.0,5.0,1.0,2.0,2.0,4.0,18.0,4.0,1.0,5.0,2.0,5.0,2.0,5.0,4.0,3.0,4.0,5.0,3.0,0.0,7.0,3.0,5.0,3.0,6.0,3.0,5.0,3.0,6.0,6.0,9.0,9.0,9.0,9.0,4.0,6.0,6.0,6.0,7.0,9.0,7.0,5.0,6.0,22.0,10.0,7.0,6.0,6.0,4.0,14.0,6.0,6.0,5.0,9.0,4.0,6.0,8.0,7.0,3.0,3.0,4.0,2.0,9.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,4.0,0.0,1.0,1,2.0,1,1.0,0,0.0,0.0,1,1.0,3,4,0,2,2,5,4,1,0,1,1,0,0,0,3,0,0,0,3,2,0,1,0,3,0,0,2,6,0,1,0
archi prêtres,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archi qui,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0.0,0,1.0,1,0.0,0.0,0,0.0,0,0,2,0,1,3,1,4,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,0,2
archi tecte,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,6.0,0.0,0.0,4.0,1.0,1.0,5.0,5.0,3.0,3.0,10.0,0.0,11.0,3.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,3.0,0.0,7.0,5.0,2.0,4.0,3.0,1.0,7.0,0.0,1.0,9.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,2.0,2.0,6.0,2.0,9.0,8.0,3.0,6.0,5.0,4.0,2.0,3.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,4.0,6.0,1.0,1.0,2.0,4.0,5.0,1.0,7.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,3,3.0,3.0,4.0,5.0,11,9.0,3,3.0,8,6.0,4.0,1,4.0,5,2,2,7,3,7,7,7,2,5,10,8,13,9,4,5,5,5,2,5,8,5,2,6,6,4,5,8,3,3,1
archi tectes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3,2.0,14.0,3.0,4.0,3,9.0,7,5.0,1,7.0,6.0,9,2.0,3,6,8,10,2,2,0,4,5,0,7,3,9,9,3,4,3,6,2,5,7,5,2,0,5,0,3,2,2,4,3
archi tectonique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,9.0,1.0,6.0,4.0,3.0,12.0,8.0,8.0,8.0,14.0,18.0,9.0,12.0,13.0,8.0,11.0,9.0,5.0,5.0,1.0,4.0,10.0,2.0,7.0,8.0,6.0,9.0,9.0,6.0,14.0,9.0,12.0,5.0,10.0,15.0,1.0,5.0,9.0,2.0,5.0,7.0,3.0,9.0,6.0,5.0,3.0,1.0,6.0,2.0,2.0,7.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,9.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,7.0,2.0,4.0,6.0,2.0,4.0,1.0,1.0,3.0,5.0,3.0,1.0,0.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,6.0,0.0,1.0,2.0,5.0,0.0,3.0,11.0,5.0,7.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,8.0,2.0,3.0,4.0,5.0,5.0,4.0,8.0,5.0,8,7.0,7.0,12.0,9.0,16,6.0,14,4.0,7,9.0,9.0,14,19.0,12,7,20,19,5,8,25,24,9,16,13,49,21,23,28,18,19,29,18,12,25,22,15,25,36,7,17,26,11,12,14
archi tectoniques,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,12.0,2.0,4.0,4.0,2.0,14.0,6.0,11.0,9.0,15.0,3.0,8.0,6.0,19.0,19.0,5.0,7.0,4.0,5.0,5.0,15.0,2.0,8.0,8.0,4.0,9.0,11.0,8.0,10.0,13.0,6.0,10.0,3.0,13.0,4.0,3.0,10.0,12.0,5.0,7.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,4.0,2.0,3.0,2.0,3.0,3.0,8.0,0.0,5.0,2.0,4.0,3.0,1.0,2.0,4.0,8.0,5.0,2.0,3.0,3.0,6.0,1.0,7.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,7.0,3.0,2.0,3.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,2,2.0,3.0,5.0,9.0,4,12.0,5,5.0,2,4.0,7.0,2,6.0,13,12,5,4,3,2,3,8,2,7,5,5,3,1,13,8,4,7,4,3,15,3,3,6,6,4,3,3,3,3,2
archi tectural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3,1.0,2.0,0.0,0.0,0,1.0,2,3.0,2,3.0,4.0,1,2.0,0,1,3,1,1,1,3,0,0,0,3,0,3,1,3,4,1,1,1,1,0,4,0,1,2,3,1,0,0,0,2
archi tecturale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1,2.0,1,1.0,3.0,0,2.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,4,1,0,8,0,1,0,0,0,0,6,1,2,1,1,1,2
archi tecture,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,7.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,2.0,3.0,0.0,1.0,0.0,5.0,3.0,1.0,2.0,6.0,4.0,4.0,1.0,3.0,3.0,7.0,3.0,8.0,8.0,5.0,8.0,13.0,3.0,3.0,6.0,7.0,5.0,2.0,1.0,3.0,1.0,12.0,2.0,8.0,3.0,3.0,4.0,4.0,7.0,6.0,9.0,8.0,5.0,3.0,7.0,4.0,6.0,6.0,11.0,3.0,2.0,1.0,2.0,6.0,8.0,6.0,2.0,4.0,5.0,1.0,6.0,4.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,0.0,6.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,4.0,1.0,5.0,6.0,1.0,3.0,2.0,6.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,5.0,2.0,1.0,7.0,2.0,5.0,3.0,1.0,6.0,2.0,3.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,0.0,6.0,0.0,3.0,4.0,2.0,7.0,4.0,3.0,8.0,9.0,4,2.0,5.0,12.0,9.0,3,6.0,9,18.0,8,11.0,11.0,16,13.0,12,22,8,16,12,10,17,20,16,10,6,10,15,10,6,10,9,14,5,6,8,11,11,16,16,31,13,16,13,4,2
archi trionfali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,1,0.0,2,0.0,0,3.0,0.0,0,1.0,0,0,3,0,0,1,0,0,1,1,0,3,0,1,0,2,0,3,1,2,0,1,1,0,2,0,3,2,0,1,0
archi trésorier,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,7.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,1.0,4.0,3.0,0.0,8.0,5.0,1.0,11.0,2.0,6.0,3.0,5.0,0.0,11.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,1,0,0,0,1,2,1
archi ves,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,6.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,5.0,7.0,2.0,8.0,5.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,0.0,1.0,1.0,3.0,3.0,1,3.0,6.0,6.0,3.0,3,7.0,1,5.0,1,3.0,5.0,0,4.0,8,4,8,5,5,7,13,6,8,3,2,5,1,3,4,2,3,1,4,5,3,1,3,2,4,12,8,1,6,3,3
